id,sample_name,variable_mnemonic
14424,us1880c,RELATE
14423,us1880e,RELATE
27136,us1930d,RELATE
77396,us1850b,RELATE
712109,us1920c,RELATE
979651,us1910m,RELATE
1183129,us1900m,RELATE
1184195,us1850c,RELATE
1193075,us1860c,RELATE
1192968,us1870c,RELATE
15164,us1880c,AGE
15157,us1880e,AGE
602385,us1930d,AGE
76970,us1850b,AGE
712110,us1920c,AGE
979652,us1910m,AGE
1183132,us1900m,AGE
1184196,us1850c,AGE
1193076,us1860c,AGE
1192969,us1870c,AGE
15108,us1880c,SEX
15101,us1880e,SEX
27133,us1930d,SEX
76971,us1850b,SEX
712111,us1920c,SEX
979653,us1910m,SEX
1183135,us1900m,SEX
1184197,us1850c,SEX
1193077,us1860c,SEX
1192970,us1870c,SEX
15102,us1880c,MARST
15097,us1880e,MARST
27130,us1930d,MARST
712113,us1920c,MARST
979655,us1910m,MARST
1183141,us1900m,MARST
14603,us1880c,AGEMONTH
14602,us1880e,AGEMONTH
27123,us1930d,AGEMONTH
76986,us1850b,AGEMONTH
712143,us1920c,AGEMONTH
979685,us1910m,AGEMONTH
1183248,us1900m,AGEMONTH
1184236,us1850c,AGEMONTH
1193094,us1860c,AGEMONTH
1193095,us1870c,AGEMONTH
1183249,us1900m,BIRTHMO
77455,us1850b,IMPREL
1184249,us1850c,IMPREL
1193105,us1860c,IMPREL
1192988,us1870c,IMPREL
30023,us1880c,BIRTHYR
30022,us1880e,BIRTHYR
33767,us1930d,BIRTHYR
77477,us1850b,BIRTHYR
712178,us1920c,BIRTHYR
1098727,us1910m,BIRTHYR
1183486,us1900m,BIRTHYR
1184267,us1850c,BIRTHYR
1193124,us1860c,BIRTHYR
1192993,us1870c,BIRTHYR
